# coordination/total atoms in the system
# A\As\
# B\Ni\
# shell	r_shell	C_shell
0	0.7075	2.99999920179
1	1.2245	2.9999995345
2	1.3545	2.99999956497
3	1.5815	5.99999920255
4	1.6835	2.99999961302
5	1.9575	5.99999927198
6	2.1215	8.99999893706
7	2.3455	5.99999931158
8	2.4155	5.99999931677
9	2.5495	11.9999986511
10	2.6145	2.99999966466
11	2.7985	5.99999933862
12	2.9155	11.9999986873
13	3.0825	11.9999986997
14	3.1355	2.9999996758
15	3.2405	17.9999980645
16	3.2915	5.99999935631
17	3.4395	5.9999993602
18	3.5355	14.9999984062
19	3.6745	8.99999904815
20	3.7195	8.99999904948
21	3.8075	17.9999981039
22	3.8515	2.99999968438
23	3.9795	11.9999987418
24	4.0625	17.9999981165
