# coordination/total atoms in the system
# A\Zn\
# B\S\
# shell	r_shell	C_shell
0	0.9995	2.99999945106
1	1.4145	1.49999978814
2	1.6325	0.499999934571
3	1.7325	4.49999942691
4	1.9145	2.99999963302
5	1.9995	1.49999981935
6	2.2365	2.99999965125
7	2.3805	2.99999965711
8	2.4495	1.49999982978
9	2.5165	1.49999983088
10	2.5815	2.99999966372
11	2.6455	5.99999933102
12	2.7085	1.49999983358
13	2.8865	2.99999967123
14	2.9995	2.99999967345
15	3.1095	5.99999935075
16	3.1625	2.99999967623
17	3.2145	2.99999967704
18	3.2655	0.499999946298
19	3.3165	2.9999996785
20	3.3665	1.49999983959
21	3.4155	5.9999993596
22	3.4645	1.4999998402
23	3.5115	2.99999968096
24	3.6055	5.999999364
25	3.6965	2.99999968294
26	3.7855	1.49999984189
27	3.8295	5.99999936837
28	3.8725	2.99999968456
29	3.9155	2.99999968493
30	3.9585	5.99999937056
31	3.9995	1.4999998428
32	4.0415	2.99999968593
