# coordination/total atoms in the system
# A\F\
# B\Ca\
# shell	r_shell	C_shell
0	0.4085	0.333333133676
1	0.7075	0.999999733929
2	0.9995	3.99999926808
3	1.0805	1.99999965806
4	1.2245	1.33333312644
5	1.3545	0.999999854989
6	1.4145	1.99999971752
7	1.5815	3.99999946837
8	1.6325	0.666666579428
9	1.6835	0.999999871008
10	1.7325	5.99999923588
11	1.7795	1.99999974819
12	1.9145	3.9999995107
13	1.9575	1.99999975733
14	1.9995	1.99999975914
15	2.0415	2.3333330543
16	2.1215	4.99999940948
17	2.2365	3.999999535
18	2.2735	1.99999976858
19	2.3455	3.99999954105
20	2.3805	3.99999954282
21	2.4155	1.99999977226
22	2.4495	1.99999977304
23	2.5165	1.9999997745
24	2.5495	3.99999955036
25	2.5815	3.99999955162
26	2.6145	0.999999888219
27	2.6455	7.99999910803
28	2.6775	5.99999933272
29	2.7085	1.9999997781
30	2.7985	1.99999977954
31	2.8575	2.33333307714
32	2.8865	3.99999956164
33	2.9155	7.99999912486
34	2.9995	3.9999995646
35	3.0275	3.99999956527
36	3.0825	3.99999956656
37	3.1095	7.99999913434
38	3.1355	0.999999891934
39	3.1625	3.99999956831
40	3.2145	3.99999956938
41	3.2405	7.9999991398
42	3.2655	0.666666595064
43	3.2915	1.99999978544
44	3.3165	3.99999957134
45	3.3415	5.99999935768
46	3.3665	1.99999978612
47	3.4155	7.99999914614
48	3.4395	1.99999978673
49	3.4645	1.99999978694
50	3.4885	3.99999957425
51	3.5115	3.99999957461
52	3.5355	4.99999946872
53	3.6055	7.999999152
54	3.6285	5.99999936449
55	3.6745	5.33333276927
56	3.6965	3.99999957725
57	3.7195	2.99999968316
58	3.7855	1.99999978919
59	3.8075	11.9999987359
60	3.8295	7.99999915782
61	3.8515	0.999999894793
62	3.8725	3.99999957941
63	3.8945	3.99999957966
64	3.9155	3.9999995799
65	3.9585	7.99999916074
66	3.9795	3.99999958059
67	3.9995	1.9999997904
68	4.0205	3.99999958102
69	4.0415	3.99999958124
70	4.0625	7.99999916289
