# coordination/total atoms in the system
# A\Cd\
# B\I\
# shell	r_shell	C_shell
0	0.7075	1.99999946786
1	1.2245	1.99999968967
2	1.3545	1.99999970998
3	1.5815	3.99999946837
4	1.6835	1.99999974202
5	1.9575	3.99999951465
6	2.1215	5.99999929137
7	2.3455	3.99999954105
8	2.4155	3.99999954451
9	2.5495	7.99999910072
10	2.6145	1.99999977644
11	2.7985	3.99999955908
12	2.9155	7.99999912486
13	3.0825	7.99999913312
14	3.1355	1.99999978387
15	3.2405	11.9999987097
16	3.2915	3.99999957087
17	3.4395	3.99999957347
18	3.5355	9.99999893744
19	3.6745	5.99999936543
20	3.7195	5.99999936632
21	3.8075	11.9999987359
22	3.8515	1.99999978959
23	3.9795	7.99999916119
24	4.0625	11.9999987443
