# coordination/total atoms in the system
# A\Li\
# B\Bi\
# shell	r_shell	C_shell
0	0.4335	1.99999882812
1	0.4995	1.49999928526
2	0.8295	5.99999841838
3	0.8665	1.99999949304
4	1.0895	5.99999872382
5	1.1185	5.99999874538
6	1.2995	7.99999846528
7	1.4795	11.9999978332
8	1.4995	7.49999865334
9	1.6395	5.99999895903
10	1.6585	5.99999896327
11	1.7855	11.9999979764
12	1.8025	5.99999899115
13	1.9205	17.9999970284
14	2.0465	5.99999902566
15	2.0615	11.9999980548
16	2.1655	13.9999977563
17	2.1795	5.99999903979
18	2.2775	17.999997146
19	2.2915	11.9999980997
20	2.3845	11.9999981142
21	2.4875	17.9999971927
22	2.4995	6.7499989482
