# coordination/total atoms in the system
# A\Li\
# B\Bi\
# shell	r_shell	C_shell
0	0.9995	4.49999917659
1	1.4145	2.24999968221
2	1.6325	0.749999901856
3	1.7325	6.74999914037
4	1.9145	4.49999944954
5	1.9995	2.24999972903
6	2.2365	4.49999947688
7	2.3805	4.49999948567
8	2.4495	2.24999974467
9	2.5165	2.24999974632
10	2.5815	4.49999949557
11	2.6455	8.99999899653
12	2.7085	2.24999975037
13	2.8865	4.49999950684
14	2.9995	4.49999951017
15	3.1095	8.99999902613
16	3.1625	4.49999951435
17	3.2145	4.49999951556
18	3.2655	0.749999919447
19	3.3165	4.49999951775
20	3.3665	2.24999975938
21	3.4155	8.9999990394
22	3.4645	2.2499997603
23	3.5115	4.49999952143
24	3.6055	8.999999046
25	3.6965	4.4999995244
26	3.7855	2.24999976284
27	3.8295	8.99999905255
28	3.8725	4.49999952684
29	3.9155	4.49999952739
30	3.9585	8.99999905583
31	3.9995	2.2499997642
32	4.0415	4.49999952889
