# coordination/total atoms in the system
# A\As\
# B\Ni\
# shell	r_shell	C_shell
0	0.8165	0.499999887706
1	0.9995	1.49999972552
2	1.2905	2.99999955112
3	1.6325	0.499999934571
4	1.7325	1.49999980897
5	1.9145	5.99999926605
6	1.9995	1.49999981936
7	2.1605	2.99999964767
8	2.3805	2.99999965711
9	2.4495	0.499999943261
10	2.5815	2.99999966372
11	2.6455	5.99999933102
12	2.7685	5.99999933723
13	2.9995	4.49999951017
14	3.1095	8.99999902613
15	3.1625	2.99999967623
16	3.2655	0.499999946298
17	3.4155	5.9999993596
18	3.4645	1.4999998402
19	3.5595	2.9999996815
20	3.6055	8.999999046
21	3.6965	8.99999904881
22	3.8295	5.99999936837
23	3.8725	2.99999968456
24	3.9585	5.99999937056
25	3.9995	1.4999998428
26	4.0825	1.62505311002
