# coordination/total atoms in the system
# A\Ca\
# B\F\
# shell	r_shell	C_shell
0	0.6125	2.66666580875
1	1.0205	0.666666546928
2	1.1725	5.99999903876
3	1.4285	3.99999943829
4	1.5415	5.99999919204
5	1.8375	5.99999925438
6	1.9255	1.99999975587
7	2.0105	3.99999951918
8	2.0915	11.9999985763
9	2.1695	1.99999976541
10	2.2455	4.66666612479
11	2.3185	1.99999976982
12	2.3895	3.99999954326
13	2.4575	3.99999954645
14	2.5245	7.99999909868
15	2.6535	0.666666592383
16	2.7155	9.99999889109
17	2.7765	3.9999995584
18	2.8355	15.9999982407
19	2.8935	5.99999934274
20	2.9505	1.99999978168
21	3.0065	3.99999956477
22	3.0615	7.99999913216
23	3.1155	5.99999935095
24	3.1685	7.99999913688
25	3.2215	5.99999935428
26	3.2725	1.99999978526
27	3.3225	3.99999957145
28	3.3725	3.99999957233
29	3.4215	5.99999935975
30	3.4705	7.99999914794
31	3.5175	13.9999985115
32	3.5645	3.99999957541
33	3.6115	3.99999957609
34	3.6575	9.99999894181
35	3.7025	7.99999915465
36	3.7475	19.9999978895
37	3.7915	11.9999987354
38	3.8355	1.99999978949
39	3.8785	0.666666596581
40	3.9635	7.99999916085
41	4.0055	7.99999916173
42	4.0465	17.9999981158
