# coordination/total atoms in the system
# A\Cl\
# B\Cd\
# shell	r_shell	C_shell
0	0.7075	3.99999876411
1	0.9995	1.99999954818
2	1.2245	7.99999841544
3	1.4145	3.99999926343
4	1.5815	7.99999859352
5	1.7325	2.66666621265
6	1.8705	15.999997339
7	1.9995	1.99999967333
8	2.1215	11.9999980679
9	2.2365	7.99999872678
10	2.3455	7.99999873888
11	2.4495	7.99999874895
12	2.5495	23.9999962725
13	2.7385	15.9999975423
14	2.8285	3.99999938837
15	2.9155	15.9999975633
16	2.9995	9.99999848245
17	3.0825	23.9999963697
18	3.1625	7.9999987934
19	3.2405	15.9999975932
20	3.3165	7.99999879945
21	3.3915	15.9999976042
22	3.4645	2.66666626817
23	3.5355	27.9999958235
24	3.6055	7.99999880878
25	3.6745	31.9999952427
26	3.7415	15.9999976249
27	3.8075	7.99999881407
28	3.9375	31.9999952682
29	3.9995	1.9999997046
30	4.0625	31.9999952787
31	4.1235	15.9999976417
32	4.1835	15.9999976439
33	4.2425	11.9999982345
34	4.3015	39.9999941202
35	4.3585	7.99999882497
36	4.4155	15.9999976517
37	4.4725	7.99999882673
38	4.5275	15.9999976551
39	4.5825	15.9999976566
40	4.6365	39.9999941452
41	4.6905	7.99999882976
42	4.7435	39.9999941522
43	4.8475	31.9999953268
44	4.8985	7.99999883228
45	4.9495	35.9999947478
46	4.9995	8.99999868771
