# coordination/total atoms in the system
# A\Li\
# B\Bi\
# shell	r_shell	C_shell
0	0.4335	1.99999882812
1	0.4995	1.49999928526
2	0.7075	4.49999860962
3	0.8295	5.99999841838
4	0.8665	1.99999949304
5	0.9995	2.2499994917
6	1.0895	5.99999872382
7	1.1185	5.99999874538
8	1.2245	8.99999821737
9	1.2995	7.99999846528
10	1.4145	4.49999917136
11	1.4795	11.9999978332
12	1.4995	7.49999865334
13	1.5815	8.99999841771
14	1.6395	5.99999895903
15	1.6585	5.99999896327
16	1.7325	2.99999948923
17	1.7855	11.9999979764
18	1.8025	5.99999899115
19	1.8705	17.9999970064
20	1.9205	17.9999970284
21	1.9995	2.24999963249
22	2.0465	5.99999902566
23	2.0615	11.9999980548
24	2.1215	13.4999978264
25	2.1655	13.9999977563
26	2.1795	5.99999903979
27	2.2365	8.99999856763
28	2.2775	17.999997146
29	2.2915	11.9999980997
30	2.3455	8.99999858124
31	2.3845	11.9999981142
32	2.4495	8.99999859257
33	2.4875	17.9999971927
34	2.4995	6.7499989482
