# coordination/total atoms in the system
# A\S\
# B\Zn\
# shell	r_shell	C_shell
0	0.6125	1.99999935656
1	1.0205	0.499999910196
2	1.1725	4.49999927907
3	1.4285	2.99999957872
4	1.5415	4.49999939403
5	1.8375	4.49999944078
6	1.9255	1.4999998169
7	2.0105	2.99999963938
8	2.0915	8.99999893224
9	2.1695	1.49999982406
10	2.2455	3.49999959359
11	2.3185	1.49999982736
12	2.3895	2.99999965745
13	2.4575	2.99999965984
14	2.5245	5.99999932401
15	2.6535	0.499999944288
16	2.7155	7.49999916832
17	2.7765	2.9999996688
18	2.8355	11.9999986805
19	2.8935	4.49999950706
20	2.9505	1.49999983626
21	3.0065	2.99999967357
22	3.0615	5.99999934912
23	3.1155	4.49999951321
24	3.1685	5.99999935266
25	3.2215	4.49999951571
26	3.2725	1.49999983894
27	3.3225	2.99999967858
28	3.3725	2.99999967925
29	3.4215	4.49999951981
30	3.4705	5.99999936095
31	3.5175	10.4999988836
32	3.5645	2.99999968156
33	3.6115	2.99999968206
34	3.6575	7.49999920636
35	3.7025	5.99999936599
36	3.7475	14.9999984171
37	3.7915	8.99999905152
38	3.8355	1.49999984212
39	3.8785	0.499999947435
40	3.9635	5.99999937064
41	4.0055	5.9999993713
42	4.0465	13.4999985868
