# coordination/total atoms in the system
# A\Ca\
# B\F\
# shell	r_shell	C_shell
0	0.4995	0.999999523507
1	0.7075	1.99999938205
2	0.8665	1.33333299536
3	0.9995	0.999999774091
4	1.1185	3.99999916359
5	1.2245	3.99999920772
6	1.4145	1.99999963172
7	1.4995	4.99999910223
8	1.5815	3.99999929676
9	1.6585	3.99999930885
10	1.7325	1.33333310633
11	1.8025	3.99999932743
12	1.8705	7.99999866952
13	1.9995	0.999999836664
14	2.0615	7.99999870319
15	2.1215	5.99999903395
16	2.1795	3.99999935986
17	2.2365	3.99999936339
18	2.2915	7.9999987331
19	2.3455	3.99999936944
20	2.4495	3.99999937447
21	2.4995	4.4999992988
