# coordination/total atoms in the system
# A\Ca\
# B\F\
# shell	r_shell	C_shell
0	0.9995	1.99999963404
1	1.4145	0.999999858761
2	1.6325	0.333333289714
3	1.7325	2.99999961794
4	1.9145	1.99999975535
5	1.9995	0.99999987957
6	2.2365	1.9999997675
7	2.3805	1.99999977141
8	2.4495	0.999999886522
9	2.5165	0.999999887252
10	2.5815	1.99999977581
11	2.6455	3.99999955401
12	2.7085	0.999999889051
13	2.8865	1.99999978082
14	2.9995	1.9999997823
15	3.1095	3.99999956717
16	3.1625	1.99999978416
17	3.2145	1.99999978469
18	3.2655	0.333333297532
19	3.3165	1.99999978567
20	3.3665	0.999999893058
21	3.4155	3.99999957307
22	3.4645	0.999999893468
23	3.5115	1.9999997873
24	3.6055	3.999999576
25	3.6965	1.99999978862
26	3.7855	0.999999894595
27	3.8295	3.99999957891
28	3.8725	1.99999978971
29	3.9155	1.99999978995
30	3.9585	3.99999958037
31	3.9995	0.999999895201
32	4.0415	1.99999979062
