# coordination/total atoms in the system
# A\Cl\
# B\Cd\
# shell	r_shell	C_shell
0	0.7075	1.99999938205
1	1.2245	3.99999920772
2	1.4145	3.99999926343
3	1.5815	3.99999929676
4	1.8705	7.99999866952
5	1.9995	1.99999967333
6	2.1215	5.99999903395
7	2.3455	3.99999936944
8	2.4495	7.99999874895
9	2.5495	11.9999981362
10	2.7385	7.99999877116
11	2.8285	3.99999938837
12	2.9155	7.99999878163
13	3.0825	11.9999981848
14	3.1625	7.9999987934
15	3.2405	7.99999879658
16	3.3915	7.9999988021
17	3.4645	2.66666626817
18	3.5355	13.9999979118
19	3.6745	15.9999976214
20	3.7415	15.9999976249
21	3.8075	3.99999940704
22	3.9375	15.9999976341
23	3.9995	1.9999997046
24	4.0625	15.9999976393
25	4.1835	7.99999882197
26	4.2425	11.9999982345
27	4.3015	19.9999970601
28	4.4155	7.99999882587
29	4.4725	7.99999882673
30	4.5275	7.99999882754
31	4.6365	19.9999970726
32	4.6905	7.99999882976
33	4.7435	19.9999970761
34	4.8475	15.9999976634
35	4.8985	7.99999883228
36	4.9495	17.9999973739
