# coordination/total atoms in the system
# A\Cd\
# B\Cl\
# shell	r_shell	C_shell
0	0.7075	0.999999691026
1	1.2245	1.99999960386
2	1.4145	1.99999963172
3	1.5815	1.99999964838
4	1.8705	3.99999933476
5	1.9995	0.999999836664
6	2.1215	2.99999951698
7	2.3455	1.99999968472
8	2.4495	3.99999937447
9	2.5495	5.99999906812
10	2.7385	3.99999938558
11	2.8285	1.99999969418
12	2.9155	3.99999939082
13	3.0825	5.99999909242
14	3.1625	3.9999993967
15	3.2405	3.99999939829
16	3.3915	3.99999940105
17	3.4645	1.33333313409
18	3.5355	6.99999895589
19	3.6745	7.99999881069
20	3.7415	7.99999881244
21	3.8075	1.99999970352
22	3.9375	7.99999881706
23	3.9995	0.999999852298
24	4.0625	7.99999881967
25	4.1835	3.99999941099
26	4.2425	5.99999911727
27	4.3015	9.99999853004
28	4.4155	3.99999941293
29	4.4725	3.99999941337
30	4.5275	3.99999941377
31	4.6365	9.99999853631
32	4.6905	3.99999941488
33	4.7435	9.99999853804
34	4.8475	7.99999883169
35	4.8985	3.99999941614
36	4.9495	8.99999868695
