# coordination/total atoms in the system
# A\Cd\
# B\Cl\
# shell	r_shell	C_shell
0	0.7075	1.99999938205
1	0.9995	0.999999774091
2	1.2245	3.99999920772
3	1.4145	1.99999963172
4	1.5815	3.99999929676
5	1.7325	1.33333310633
6	1.8705	7.99999866952
7	1.9995	0.999999836664
8	2.1215	5.99999903395
9	2.2365	3.99999936339
10	2.3455	3.99999936944
11	2.4495	3.99999937447
12	2.5495	11.9999981362
13	2.7385	7.99999877116
14	2.8285	1.99999969418
15	2.9155	7.99999878163
16	2.9995	4.99999924123
17	3.0825	11.9999981848
18	3.1625	3.9999993967
19	3.2405	7.99999879658
20	3.3165	3.99999939972
21	3.3915	7.9999988021
22	3.4645	1.33333313409
23	3.5355	13.9999979118
24	3.6055	3.99999940439
25	3.6745	15.9999976214
26	3.7415	7.99999881244
27	3.8075	3.99999940704
28	3.9375	15.9999976341
29	3.9995	0.999999852298
30	4.0625	15.9999976393
31	4.1235	7.99999882085
32	4.1835	7.99999882197
33	4.2425	5.99999911727
34	4.3015	19.9999970601
35	4.3585	3.99999941248
36	4.4155	7.99999882587
37	4.4725	3.99999941337
38	4.5275	7.99999882754
39	4.5825	7.99999882831
40	4.6365	19.9999970726
41	4.6905	3.99999941488
42	4.7435	19.9999970761
43	4.8475	15.9999976634
44	4.8985	3.99999941614
45	4.9495	17.9999973739
46	4.9995	4.49999934386
