# coordination/total atoms in the system
# A\F\
# B\Ca\
# shell	r_shell	C_shell
0	0.4995	1.99999904701
1	0.7075	3.99999876411
2	0.8665	2.66666599072
3	0.9995	1.99999954818
4	1.1185	7.99999832717
5	1.2245	7.99999841544
6	1.4145	3.99999926343
7	1.4995	9.99999820446
8	1.5815	7.99999859352
9	1.6585	7.99999861769
10	1.7325	2.66666621265
11	1.8025	7.99999865487
12	1.8705	15.999997339
13	1.9995	1.99999967333
14	2.0615	15.9999974064
15	2.1215	11.9999980679
16	2.1795	7.99999871972
17	2.2365	7.99999872678
18	2.2915	15.9999974662
19	2.3455	7.99999873888
20	2.4495	7.99999874895
21	2.4995	8.9999985976
