# coordination/total atoms in the system
# A\F\
# B\Ca\
# shell	r_shell	C_shell
0	0.9995	3.99999926808
1	1.4145	1.99999971752
2	1.6325	0.666666579428
3	1.7325	5.99999923588
4	1.9145	3.9999995107
5	1.9995	1.99999975914
6	2.2365	3.999999535
7	2.3805	3.99999954282
8	2.4495	1.99999977304
9	2.5165	1.9999997745
10	2.5815	3.99999955162
11	2.6455	7.99999910803
12	2.7085	1.9999997781
13	2.8865	3.99999956164
14	2.9995	3.9999995646
15	3.1095	7.99999913434
16	3.1625	3.99999956831
17	3.2145	3.99999956938
18	3.2655	0.666666595064
19	3.3165	3.99999957134
20	3.3665	1.99999978612
21	3.4155	7.99999914614
22	3.4645	1.99999978694
23	3.5115	3.99999957461
24	3.6055	7.999999152
25	3.6965	3.99999957725
26	3.7855	1.99999978919
27	3.8295	7.99999915782
28	3.8725	3.99999957941
29	3.9155	3.9999995799
30	3.9585	7.99999916074
31	3.9995	1.9999997904
32	4.0415	3.99999958124
