# coordination/total atoms in the system
# A\Cd\
# B\I\
# shell	r_shell	C_shell
0	0.9995	0.999999817016
1	1.6325	0.333333289714
2	1.7325	0.999999872647
3	1.9145	1.99999975535
4	1.9995	0.999999879571
5	2.3805	1.99999977141
6	2.5815	1.99999977581
7	2.6455	1.99999977701
8	2.9995	0.999999891149
9	3.1095	3.99999956717
10	3.2655	0.333333297532
11	3.4155	3.99999957307
12	3.4645	0.999999893468
13	3.6055	1.999999788
14	3.6965	1.99999978862
15	3.8295	3.99999957891
16	3.9585	3.99999958037
17	3.9995	0.999999895201
