# coordination/total atoms in the system
# A\Li\
# B\Bi\
# shell	r_shell	C_shell
0	0.4085	0.249999850257
1	0.6125	1.49999951742
2	0.7075	0.749999800447
3	0.8165	0.249999943853
4	0.8415	1.49999967409
5	0.9995	3.7499993138
6	1.0805	1.49999974355
7	1.1725	2.99999951938
8	1.2245	0.999999844833
9	1.2905	1.49999977556
10	1.3075	1.4999997775
11	1.3545	0.749999891242
12	1.4145	1.49999978814
13	1.5415	5.99999919204
14	1.5815	2.99999960128
15	1.6325	0.749999901856
16	1.6455	2.9999996089
17	1.6835	0.749999903256
18	1.7325	5.2499993314
19	1.7795	1.49999981114
20	1.8375	4.49999944078
21	1.9145	5.99999926605
22	1.9255	1.4999998169
23	1.9575	1.49999981799
24	1.9995	2.24999972903
25	2.0415	1.74999979073
26	2.0915	5.99999928816
27	2.1215	3.74999955711
28	2.1605	1.49999982384
29	2.1695	4.49999947217
30	2.2365	2.99999965125
31	2.2735	1.49999982643
32	2.3185	5.99999930945
33	2.3455	2.99999965579
34	2.3805	4.49999948567
35	2.3895	4.49999948617
36	2.4155	1.49999982919
37	2.4495	1.74999980141
38	2.5165	1.49999983088
39	2.5245	8.99999898601
40	2.5495	2.99999966277
41	2.5815	4.49999949557
42	2.5905	2.99999966398
43	2.6145	0.749999916164
44	2.6455	8.99999899653
45	2.6775	4.49999949954
46	2.7085	1.49999983358
47	2.7155	8.99999900199
48	2.7685	2.99999966861
49	2.7765	2.9999996688
50	2.7985	1.49999983465
51	2.8575	1.74999980786
52	2.8865	2.99999967123
53	2.8935	5.99999934274
54	2.9155	5.99999934364
55	2.9505	2.99999967251
56	2.9995	5.24999942853
57	3.0275	2.99999967396
58	3.0615	10.499998861
59	3.0825	2.99999967492
60	3.1095	10.4999988638
61	3.1155	7.49999918869
62	3.1355	0.74999991895
63	3.1625	4.49999951435
64	3.2145	2.99999967704
65	3.2215	8.99999903143
66	3.2405	5.99999935485
67	3.2655	0.749999919447
68	3.2725	4.49999951683
69	3.2915	1.49999983908
70	3.3165	2.9999996785
71	3.3415	4.49999951826
72	3.3665	1.49999983959
73	3.3725	11.999998717
74	3.4155	8.9999990394
75	3.4215	4.49999951981
76	3.4395	1.49999984005
77	3.4645	2.2499997603
78	3.4885	2.99999968069
79	3.5115	2.99999968096
80	3.5175	8.99999904308
81	3.5355	3.74999960154
82	3.5595	1.49999984075
83	3.5645	5.99999936311
84	3.6055	10.499998887
85	3.6285	4.49999952336
86	3.6575	8.99999904763
87	3.6745	3.99999957695
88	3.6965	7.49999920734
89	3.7025	5.99999936599
90	3.7195	2.24999976237
91	3.7855	1.49999984189
92	3.7915	11.9999987354
93	3.8075	8.99999905196
94	3.8295	8.99999905255
95	3.8355	4.49999952636
96	3.8515	0.749999921095
97	3.8725	4.49999952684
98	3.8945	2.99999968475
99	3.9155	2.99999968493
100	3.9215	8.99999905492
101	3.9585	8.99999905583
102	3.9635	5.99999937064
103	3.9795	2.99999968545
104	3.9995	2.2499997642
105	4.0205	2.99999968577
106	4.0415	2.99999968593
107	4.0465	14.9999984298
108	4.0625	5.99999937217
109	4.0825	0.812526555008
