# coordination/total atoms in the system
# A\Bi\
# B\Li\
# shell	r_shell	C_shell
0	0.9995	1.49999972553
1	1.4145	0.749999894071
2	1.6325	0.249999967285
3	1.7325	2.24999971346
4	1.9145	1.49999981651
5	1.9995	0.749999909677
6	2.2365	1.49999982563
7	2.3805	1.49999982856
8	2.4495	0.749999914891
9	2.5165	0.749999915439
10	2.5815	1.49999983186
11	2.6455	2.99999966551
12	2.7085	0.749999916788
13	2.8865	1.49999983561
14	2.9995	1.49999983672
15	3.1095	2.99999967538
16	3.1625	1.49999983812
17	3.2145	1.49999983852
18	3.2655	0.249999973149
19	3.3165	1.49999983925
20	3.3665	0.749999919793
21	3.4155	2.9999996798
22	3.4645	0.749999920101
23	3.5115	1.49999984048
24	3.6055	2.999999682
25	3.6965	1.49999984147
26	3.7855	0.749999920946
27	3.8295	2.99999968418
28	3.8725	1.49999984228
29	3.9155	1.49999984246
30	3.9585	2.99999968528
31	3.9995	0.749999921401
32	4.0415	1.49999984296
