# coordination/total atoms in the system
# A\Bi\
# B\Li\
# shell	r_shell	C_shell
0	0.6125	1.99999935656
1	0.7075	1.49999960089
2	1.0205	0.499999910196
3	1.1725	4.49999927907
4	1.2245	1.49999976725
5	1.3545	1.49999978248
6	1.4285	2.99999957872
7	1.5415	4.49999939403
8	1.5815	2.99999960128
9	1.6835	1.49999980651
10	1.8375	4.49999944078
11	1.9255	1.4999998169
12	1.9575	2.99999963599
13	2.0105	2.99999963938
14	2.0915	8.99999893224
15	2.1215	4.49999946853
16	2.1695	1.49999982406
17	2.2455	3.49999959359
18	2.3185	1.49999982736
19	2.3455	2.99999965579
20	2.3895	2.99999965745
21	2.4155	2.99999965838
22	2.4575	2.99999965984
23	2.5245	5.99999932401
24	2.5495	5.99999932554
25	2.6145	1.49999983233
26	2.6535	0.499999944288
27	2.7155	7.49999916832
28	2.7765	2.9999996688
29	2.7985	2.99999966931
30	2.8355	11.9999986805
31	2.8935	4.49999950706
32	2.9155	5.99999934364
33	2.9505	1.49999983626
34	3.0065	2.99999967357
35	3.0615	5.99999934912
36	3.0825	5.99999934984
37	3.1155	4.49999951321
38	3.1355	1.4999998379
39	3.1685	5.99999935266
40	3.2215	4.49999951571
41	3.2405	8.99999903227
42	3.2725	1.49999983894
43	3.2915	2.99999967816
44	3.3225	2.99999967858
45	3.3725	2.99999967925
46	3.4215	4.49999951981
47	3.4395	2.9999996801
48	3.4705	5.99999936095
49	3.5175	10.4999988836
50	3.5355	7.49999920308
51	3.5645	2.99999968156
52	3.6115	2.99999968206
53	3.6575	7.49999920636
54	3.6745	4.49999952407
55	3.7025	5.99999936599
56	3.7195	4.49999952474
57	3.7475	14.9999984171
58	3.7915	8.99999905152
59	3.8075	8.99999905196
60	3.8355	1.49999984212
61	3.8515	1.49999984219
62	3.8785	0.499999947435
63	3.9635	5.99999937064
64	3.9795	5.99999937089
65	4.0055	5.9999993713
66	4.0465	13.4999985868
67	4.0625	8.99999905826
