# coordination/total atoms in the system
# A\A\
# B\B\
# shell	r_shell	C_shell
0	0.4995	0.299999857052
1	0.7075	0.599999814616
2	0.9995	0.599999864455
3	1.1185	1.19999974908
4	1.2245	1.19999976232
5	1.4145	1.19999977903
6	1.4995	1.49999973067
7	1.5815	1.19999978903
8	1.7325	0.799999863796
9	1.8025	1.19999979823
10	1.8705	2.39999960086
11	1.9995	0.599999901998
12	2.0615	2.39999961096
13	2.1215	1.79999971019
14	2.2365	2.39999961803
15	2.2915	2.39999961993
16	2.3455	1.19999981083
17	2.4495	2.39999962468
18	2.4995	1.34999978964
