# coordination/total atoms in the system
# A\B\
# B\A\
# shell	r_shell	C_shell
0	0.4995	1.19999942821
1	0.7075	2.39999925846
2	0.9995	2.39999945782
3	1.1185	4.7999989963
4	1.2245	4.79999904926
5	1.4145	4.79999911612
6	1.4995	5.99999892268
7	1.5815	4.79999915611
8	1.7325	3.19999945518
9	1.8025	4.79999919292
10	1.8705	9.59999840342
11	1.9995	2.39999960799
12	2.0615	9.59999844383
13	2.1215	7.19999884075
14	2.2365	9.59999847214
15	2.2915	9.59999847972
16	2.3455	4.79999924333
17	2.4495	9.59999849874
18	2.4995	5.39999915856
