# coordination/total atoms in the system
# A\Cd\
# B\Cl\
# shell	r_shell	C_shell
0	0.4995	1.99999904701
1	0.8665	2.66666599072
2	1.1185	7.99999832717
3	1.4995	9.99999820446
4	1.6585	7.99999861769
5	1.8025	7.99999865487
6	2.0615	15.9999974064
7	2.1795	7.99999871972
8	2.2915	15.9999974662
9	2.4995	9.99999844169
10	2.5985	10.6666650151
11	2.6925	23.9999963043
12	2.8725	15.9999975585
13	2.9585	15.9999975678
14	3.0415	7.999998788
15	3.2015	31.9999951801
16	3.2785	7.99999879804
17	3.3545	23.9999964025
18	3.4995	17.9999973127
19	3.5705	15.9999976155
20	3.6405	23.9999964293
21	3.7745	15.9999976265
22	3.8405	23.9999964446
23	3.9055	23.9999964491
24	4.0315	31.9999952762
25	4.0925	7.99999882025
26	4.1535	31.9999952857
27	4.2725	15.9999976471
28	4.3305	18.6666639239
29	4.3875	31.9999953017
30	4.4995	33.9999950153
31	4.5555	23.9999964838
32	4.6095	15.9999976574
33	4.7165	47.9999929806
34	4.7695	15.9999976615
35	4.8215	15.9999976628
36	4.9245	15.9999976651
37	4.9745	23.9999964994
