# coordination/total atoms in the system
# A\Bi\
# B\Li\
# shell	r_shell	C_shell
0	0.4335	0.666666276041
1	0.4995	0.499999761753
2	0.7075	1.49999953654
3	0.8295	1.99999947279
4	0.8665	0.666666497679
5	0.9995	0.749999830568
6	1.0895	1.99999957461
7	1.1185	1.99999958179
8	1.2245	2.99999940579
9	1.2995	2.66666615509
10	1.4145	1.49999972379
11	1.4795	3.99999927775
12	1.4995	2.49999955111
13	1.5815	2.99999947257
14	1.6395	1.99999965301
15	1.6585	1.99999965442
16	1.7325	0.999999829744
17	1.7855	3.99999932547
18	1.8025	1.99999966372
19	1.8705	5.99999900214
20	1.9205	5.99999900948
21	1.9995	0.749999877498
22	2.0465	1.99999967522
23	2.0615	3.9999993516
24	2.1215	4.49999927547
25	2.1655	4.66666591877
26	2.1795	1.99999967993
27	2.2365	2.99999952254
28	2.2775	5.99999904865
29	2.2915	3.99999936655
30	2.3455	2.99999952708
31	2.3845	3.99999937141
32	2.4495	2.99999953086
33	2.4875	5.99999906424
34	2.4995	2.2499996494
